initialCase,cited_by,Case
85412,cited by,111949
85412,cited by,111941
85412,cited by,110881
85412,cited by,110308
85412,cited by,109835
85412,cited by,109499
85412,cited by,104009
85412,cited by,99621
85412,cited by,96745
85412,cited by,93940
85412,cited by,92767
85412,cited by,86480
85412,cited by,86429
85412,cited by,86014
85412,cited by,111091
85412,cited by,110068
85514,cited by,112644
85514,cited by,137001
85514,cited by,106366
85534,cited by,118111
85534,cited by,117927
85534,cited by,117914
85534,cited by,112739
85534,cited by,109835
85534,cited by,109344
85534,cited by,105833
85534,cited by,104009
85534,cited by,102963
85534,cited by,102402
85534,cited by,95538
85534,cited by,95471
85534,cited by,94239
85534,cited by,94174
85534,cited by,92767
85534,cited by,86480
85534,cited by,86429
85715,cited by,102271
85715,cited by,100240
86022,cited by,118318
86022,cited by,102271
86022,cited by,92702
86022,cited by,91050
86014,cited by,118299
86014,cited by,118111
86427,cited by,106658
86427,cited by,105371
86428,cited by,111949
86459,cited by,102167
86466,cited by,137001
86466,cited by,118395
86466,cited by,118382
86466,cited by,118115
86466,cited by,112768
86466,cited by,112632
86466,cited by,107731
86466,cited by,106366
86466,cited by,104246
86466,cited by,87016
86480,cited by,110554
86696,cited by,118346
86696,cited by,118111
86696,cited by,118011
86696,cited by,117935
86696,cited by,117927
86696,cited by,117914
86696,cited by,110068
86808,cited by,117927
86875,cited by,86875
2016143,cited by,112644
2016143,cited by,118238
110308,cited by,1145266
110308,cited by,118317
110308,cited by,118111
110308,cited by,111097
110308,cited by,110308
85530,cited by,118361
85530,cited by,111149
85530,cited by,110659
85530,cited by,107081
85530,cited by,106966
85530,cited by,105525
85530,cited by,102167
85530,cited by,94239
111781,cited by,118382
111781,cited by,118102
111781,cited by,117935
111781,cited by,117921
111893,cited by,117944
111893,cited by,112173
111893,cited by,112139
85283,cited by,112456
85283,cited by,112357
85283,cited by,111941
85283,cited by,106336
85283,cited by,89354
85283,cited by,86480
85283,cited by,86429
111948,cited by,118033
111948,cited by,117947
111948,cited by,112920
111948,cited by,112643
112291,cited by,117841
112291,cited by,118323
112291,cited by,118317
112291,cited by,118318
112291,cited by,118316
112291,cited by,118134
112291,cited by,118011
112291,cited by,112641
112291,cited by,112423
112291,cited by,112414
112291,cited by,112318
112456,cited by,118318
112456,cited by,112456
118148,cited by,118323
118148,cited by,122254
118148,cited by,121162
118148,cited by,118511
118148,cited by,118317
118148,cited by,118318
118033,cited by,118115
111308,cited by,1087961
111308,cited by,118511
111308,cited by,118363
111308,cited by,118318
111308,cited by,118148
111308,cited by,118011
111308,cited by,117927
111308,cited by,117935
111308,cited by,112786
111308,cited by,112768
111308,cited by,112643
111308,cited by,112640
111308,cited by,112632
111308,cited by,112427
111308,cited by,112291
111308,cited by,112176
117916,cited by,118033
117916,cited by,121170
117916,cited by,118148
117916,cited by,118115
118318,cited by,118323
118318,cited by,118511
118316,cited by,118323
118316,cited by,118511
118316,cited by,118363
117955,cited by,137006
117947,cited by,118323
117947,cited by,118140
117935,cited by,118011
117935,cited by,118395
117935,cited by,118382
117935,cited by,118323
117935,cited by,118318
117935,cited by,118238
117935,cited by,118148
117935,cited by,118136
117935,cited by,118111
117927,cited by,118011
117927,cited by,117944
117927,cited by,118363
117927,cited by,118318
117927,cited by,118148
117927,cited by,118111
112632,cited by,112768
112632,cited by,121170
112632,cited by,118511
112632,cited by,118395
112632,cited by,118363
112632,cited by,118318
112632,cited by,118323
112632,cited by,118148
112632,cited by,118011
112632,cited by,117935
112632,cited by,117927
112641,cited by,118511
112641,cited by,118323
112641,cited by,118318
112641,cited by,118134
112641,cited by,118011
112803,cited by,117935
112803,cited by,121162
112803,cited by,118115
118361,cited by,134724
118361,cited by,118425
118011,cited by,118140
118011,cited by,118134
118011,cited by,118511
118011,cited by,118323
118011,cited by,118316
118011,cited by,118318
118011,cited by,118317
112625,cited by,121162
112625,cited by,118238
112625,cited by,118115
112305,cited by,117927
111759,cited by,118511
111759,cited by,118238
111759,cited by,117916
111759,cited by,112644
111759,cited by,112173
111759,cited by,112139
111759,cited by,111756
1087830,cited by,121162
1087830,cited by,118146
1087830,cited by,118115
1087830,cited by,117921
1087830,cited by,117935
1087830,cited by,112803
1087830,cited by,112427
1087830,cited by,111362
1087830,cited by,110985
1087830,cited by,109380
1087830,cited by,109101
1087830,cited by,109087
1087830,cited by,108607
106739,cited by,121162
106739,cited by,117935
106739,cited by,117921
106739,cited by,117874
106739,cited by,111781
106739,cited by,108993
106739,cited by,108221
106739,cited by,107783
106739,cited by,107082
104777,cited by,107685
110985,cited by,122254
110985,cited by,118511
110985,cited by,118238
110985,cited by,118148
110985,cited by,118146
110985,cited by,118111
110985,cited by,118115
110985,cited by,118033
110985,cited by,117927
110985,cited by,117935
110985,cited by,117921
